firebot-1  | [brain_node-3] [INFO] [1777494176.184289520] [brain_node]: simple: TRACK_FIRE x_off=+0.254 rotate_right wz=-32 armed=False confirm=6.5/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494177.186628000] [brain_node]: simple: CENTERED_HOLD confirm=7.5/12.0s (arming, x_offset within deadband)
firebot-1  | [brain_node-3] [INFO] [1777494178.283897018] [brain_node]: simple: CENTERED_HOLD confirm=8.6/12.0s (arming, x_offset within deadband)
firebot-1  | [brain_node-3] [INFO] [1777494179.284428147] [brain_node]: simple: CENTERED_HOLD confirm=9.6/12.0s (arming, x_offset within deadband)
firebot-1  | [brain_node-3] [INFO] [1777494180.284511702] [brain_node]: simple: TRACK_FIRE x_off=-0.246 rotate_left wz=32 armed=False confirm=10.6/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494181.384044035] [brain_node]: simple: LOST_FIRE_GRACE 0.8/5.0s armed=False (confirm resets until reacquire)
firebot-1  | [brain_node-3] [INFO] [1777494182.384219960] [brain_node]: simple: LOST_FIRE_GRACE 1.8/5.0s armed=False (confirm resets until reacquire)
firebot-1  | [brain_node-3] [INFO] [1777494183.387591923] [brain_node]: simple: LOST_FIRE_GRACE 2.8/5.0s armed=False (confirm resets until reacquire)
firebot-1  | [brain_node-3] [INFO] [1777494184.387071441] [brain_node]: simple: LOST_FIRE_GRACE 3.8/5.0s armed=False (confirm resets until reacquire)
firebot-1  | [brain_node-3] [INFO] [1777494185.485463940] [brain_node]: simple: CENTERED_HOLD confirm=0.2/12.0s (arming, x_offset within deadband)
firebot-1  | [brain_node-3] [INFO] [1777494186.584273810] [brain_node]: simple: CENTERED_HOLD confirm=1.3/12.0s (arming, x_offset within deadband)
firebot-1  | [brain_node-3] [INFO] [1777494187.684177346] [brain_node]: simple: CENTERED_HOLD confirm=2.4/12.0s (arming, x_offset within deadband)
firebot-1  | [brain_node-3] [INFO] [1777494188.684662790] [brain_node]: simple: CENTERED_HOLD confirm=3.4/12.0s (arming, x_offset within deadband)
firebot-1  | [brain_node-3] [INFO] [1777494189.684535382] [brain_node]: simple: CENTERED_HOLD confirm=4.4/12.0s (arming, x_offset within deadband)
firebot-1  | [brain_node-3] [INFO] [1777494190.784331992] [brain_node]: simple: TRACK_FIRE x_off=+0.085 rotate_right wz=-32 armed=False confirm=5.5/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494191.884273677] [brain_node]: simple: TRACK_FIRE x_off=+0.081 rotate_right wz=-32 armed=False confirm=6.6/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494192.984637287] [brain_node]: simple: TRACK_FIRE x_off=+0.098 rotate_right wz=-32 armed=False confirm=7.7/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494193.988173453] [brain_node]: simple: TRACK_FIRE x_off=+0.107 rotate_right wz=-32 armed=False confirm=8.7/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494195.088992768] [brain_node]: simple: TRACK_FIRE x_off=+0.122 rotate_right wz=-32 armed=False confirm=9.8/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494196.183964415] [brain_node]: simple: TRACK_FIRE x_off=+0.115 rotate_right wz=-32 armed=False confirm=10.9/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494197.184769859] [brain_node]: simple: TRACK_FIRE x_off=+0.222 rotate_right wz=-32 armed=False confirm=11.9/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494197.284475618] [brain_node]: simple mission ARMED (fire confirm 12.0s)
firebot-1  | [brain_node-3] [INFO] [1777494198.190006618] [brain_node]: simple: TRACK_FIRE x_off=+0.134 rotate_right wz=-32 armed=True confirm=12.0/12.0s
firebot-1  | [brain_node-3] [INFO] [1777494199.286177839] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=0.9/15.0s armed=yes
